CountryCode,CG,SC,ES,EQ,HS,HO,IW,JE,SW,PS,WL,Responses
TOTAL,0.066102387,0.079737072,0.098480978,0.090384752,0.10333282,0.088652471,0.087516597,0.088853905,0.103826309,0.091546651,0.095171718,96648
AFG,0.061845326,0.07421273,0.079824621,0.093812188,0.098041332,0.090812947,0.093324059,0.081806719,0.098637969,0.081288843,0.096669509,181
ALB,0.069474368,0.079400812,0.090570122,0.077263363,0.094111287,0.089340083,0.122214981,0.096127253,0.100627344,0.083589386,0.097281001,113
DZA,0.071963103,0.075725402,0.089129426,0.088622049,0.100430441,0.113619528,0.090699033,0.097772928,0.099871268,0.091770857,0.080395966,141
AND,0.075373751,0.074763243,0.083357581,0.121871598,0.090906095,0.082616001,0.086375936,0.088692841,0.119150891,0.089124611,0.087767451,47
AGO,0.079886433,0.090536744,0.090628475,0.0777004,0.093342314,0.095550001,0.109500464,0.087575665,0.090949782,0.081288333,0.081302257,46
AIA,0.079656755,0.074924178,0.08220772,0.086443893,0.079481026,0.095373022,0.092346123,0.12119397,0.136885551,0.079532003,0.071955758,22
ATG,0.064579115,0.133771112,0.107592088,0.092202123,0.082431611,0.075628241,0.075945929,0.095138262,0.096562373,0.072181831,0.103967315,17
ARG,0.070828674,0.076810718,0.104785042,0.088403356,0.104864995,0.09065124,0.086126764,0.093536236,0.09352147,0.096099206,0.090368296,999
ARM,0.07450831,0.085023679,0.102582635,0.091689881,0.105701611,0.087867361,0.077485359,0.081718858,0.100023843,0.097833654,0.081072056,69
ABW,0.078903157,0.083471731,0.093316559,0.099925802,0.106217489,0.08214682,0.094743547,0.085158325,0.098581117,0.098733008,0.078802445,36
AUS,0.064060377,0.074415794,0.095844081,0.083235569,0.100242554,0.089091211,0.086300235,0.084282462,0.099136115,0.090484501,0.11066016,5394
AUT,0.067854553,0.079775067,0.096666302,0.096402706,0.106687598,0.090086476,0.083272509,0.086610935,0.102252856,0.095338711,0.090746584,1858
AZE,0.065362161,0.072785035,0.088887821,0.0839787,0.098554176,0.090426454,0.084624984,0.086728113,0.084658808,0.116111227,0.111753488,62
BHS,0.073418724,0.080391627,0.09770636,0.09188244,0.089023776,0.097719283,0.085399214,0.092651909,0.087141528,0.104420223,0.100244915,31
BHR,0.061912514,0.085633146,0.102385769,0.079760784,0.097501155,0.097527215,0.091165511,0.092925959,0.108868056,0.090374977,0.078056026,72
BGD,0.06916425,0.077725358,0.11304127,0.088597833,0.098611328,0.082971387,0.104497363,0.090779411,0.093928551,0.090474525,0.090208723,76
BRB,0.07440161,0.125500554,0.083011672,0.091076288,0.097210486,0.102937327,0.069317927,0.090512818,0.095657949,0.094260928,0.076112442,33
BLR,0.074300764,0.078474754,0.091858235,0.09717067,0.103662541,0.09212125,0.087229203,0.085170229,0.095503097,0.092802393,0.08666927,133
BEL,0.064869478,0.07861972,0.099998258,0.092172283,0.105755137,0.092334927,0.086671589,0.087696024,0.103092293,0.091662473,0.092410837,1484
