id,AUS,AUT,BEL,CAN,CHL,CZE,EST,FIN,FRA,DEU,HUN,ISL,IRL,ISR,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,SVN,ESP,SWE,CHE,GBR,USA,RUS
AFG,3.644,3.756,0.231,2.155,0.005,0.025,0,0.593,0.67,8.581,0.025,0.004,0,0,1.109,0.894,0.107,0.011,0.004,0.231,0.197,1.219,0.051,0,0.001,0,0.047,4.673,0.267,1,1.617,1
ALB,0.153,0.25,0.256,0.555,0,0.05,0,0.038,0.43,2.234,0.03,0,0,0,14.118,0.056,0.02,0.123,0.009,0.12,0.003,0.062,0.083,0,0,0.013,0.27,0.226,0.115,0,3.364,0
DZA,0.024,0.249,0.735,3.245,0.002,0.038,0,0.046,25.132,1.566,0.023,0.004,0,0,0.944,0.097,0.036,0.032,0.014,0.053,0.008,0.059,0.178,0,0.004,0,5.677,0.136,0.266,0,1.369,0
AND,0,0,0.005,0,0,0,0,0,0.019,0.009,0,0,0,0,0.004,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.154,0,0.007,0,0,0
AGO,0.001,0.008,0.076,0.055,0.004,0.007,0,0.028,0.781,0.408,0.013,0.001,0,0,0.091,0.14,0.046,0.007,0.001,0.018,0,0.027,0.094,1.293,0,0,0.197,0.017,0.207,0,0.187,0
ATG,0.001,0,0,0.05,0,0,0,0,0.002,0.001,0.001,0.001,0,0,0.004,0.007,0.003,0,0,0,0,0,0,0,0,0,0.005,0,0.002,0,0.337,0
ARG,0.173,0.092,0.098,0.285,4.907,0.022,0,0.02,0.42,1.022,0.032,0.004,0,0.222,0.742,0.317,0.09,0.015,0.937,0.142,0.119,0.046,0.05,0,0,0,4.429,0.063,0.222,1,4.359,0
ARM,0.036,0.318,0.132,0.25,0.001,0.096,0,0.004,1.61,1.496,0.015,0,0,0,0.119,0.146,0.028,0.009,0.009,0.122,0.001,0,1.624,0,0.001,0.004,0.675,0.246,0.074,1,2.681,37
AUS,0,0.239,0.193,1.24,0.239,0.052,0,0.055,0.566,2.382,0.058,0.025,0,0.096,0.202,2.937,1.776,0.013,0.034,0.758,0,0.217,0.092,0,0.003,0.012,0.363,0.294,0.44,16,2.414,0
AUT,0.159,0,0.28,0.11,0.05,0.188,0,0.039,0,10.089,0.455,0.01,0,0.018,0.331,1.175,0.103,0.065,0.028,0.458,0.038,0.149,0.139,0,0.063,0.105,0.657,0.218,3.054,1,0.407,0
AZE,0.025,0.174,0.029,0.26,0,0.155,0,0.017,0.364,1.36,0.035,0,0,0,0.035,0.086,0.041,0.017,0.001,0.059,0.002,0.071,0.114,0,0,0.004,0.082,0.247,0.088,0,0.663,22
BHS,0.001,0.001,0.001,0.075,0,0,0,0,0,0.001,0,0,0,0,0.006,0.004,0.001,0,0,0.002,0,0.001,0,0,0,0,0.003,0.004,0.002,0,0.619,0
BHR,0.06,0,0,0.19,0,0,0,0.001,0.002,0.103,0.001,0,0,0,0.004,0.124,0.004,0,0,0.006,0.013,0,0,0,0,0,0.005,0.003,0.013,0,0.104,0
BGD,2.519,0.257,0.113,2.45,0.004,0,0,0.154,0.83,1.502,0.006,0.002,0,0,10.144,1.192,1.85,0.004,0.005,0.113,0.074,0.11,0.116,0.299,0.001,0.005,2.613,0.43,0.139,2,14.705,0
BRB,0,0.002,0,0.155,0,0,0,0,0.005,0.011,0,0,0,0,0,0.01,0.001,0,0.001,0.006,0.008,0,0,0,0,0,0.003,0.001,0.004,0,0.46,0
BLR,0.037,0.176,0.104,0.265,0.019,0.373,0,0.043,0.25,1.647,0.034,0.001,0,0,0.813,0.206,0.063,0.027,0.003,0.117,0.007,0.097,2.618,0,0.004,0.02,0.305,0.239,0.149,0,1.659,17
BEL,0.182,0.306,0,0.74,0.099,0.043,0,0.041,0,2.622,0.132,0.01,0,0.14,0.343,0.496,0.08,1.304,0.055,2.568,0.05,0.123,0.132,0,0.028,0.045,2.313,0.187,1.163,3,0.574,0
BLZ,0.002,0,0,0.05,0.006,0,0,0,0.001,0.005,0,0,0,0,0.003,0.017,0.006,0,0.066,0.001,0,0.001,0,0,0,0,0.004,0.001,0.002,0,0.847,0
